,model_stn,p_value
AT3G24190.1,0.4892189814380028,0.23204000000000002
AT1G71810.1,3.1750958224055217,0.0
AT4G31390.1,4.74760677730496,0.0
AT3G10130.1,-1.059829575873556,0.06236
AT3G27110.1,-0.39892416171482875,0.2800066666666667
AT5G08740.1,-0.5432953532355291,0.19638
AT2G34460.1,-0.3544786875748864,0.2922933333333333
AT2G46910.1,-0.215363638278574,0.46280666666666664
AT1G78140.1,-0.29499154089714613,0.33486666666666665
AT1G54570.1,-0.10380271196430874,0.5338333333333334
AT1G06690.1,0.09280945770631778,0.5319066666666665
AT5G41120.1,0.0745373770336506,0.5319066666666665
AT1G28150.1,0.12714376948986103,0.5319066666666665
AT3G26840.1,0.9095911421282771,0.09045333333333327
AT1G79600.1,3.0283107152971596,0.0
AT3G07700.1,1.2082490891950401,0.04493333333333327
AT2G42130.3,1.2196847582836,0.04493333333333327
AT4G38970.1,0.03622721214251667,0.5361933333333333
AT3G43540.1,0.4208822396588452,0.26513999999999993
AT2G35490.1,-0.4493525581215855,0.25482666666666665
AT3G58010.1,-0.13814597353712077,0.5169066666666667
AT4G13200.1,0.25860562883040433,0.4014533333333332
AT4G22240.1,-0.018954124101522588,0.5552133333333333
AT4G04020.1,-0.6008620945029117,0.16663333333333333
AT3G23400.1,-0.3005238925425448,0.33486666666666665
AT2G41040.1,0.023030115673786367,0.5524333333333333
AT4G32770.1,0.030978738351564734,0.5524333333333333
AT1G32220.1,-0.5152607680078604,0.2295333333333333
AT5G05200.1,-0.09256537349640503,0.5338333333333334
AT4G19170.1,0.32577856364349955,0.3078399999999999
